"from_name","type","story","likes_count","comments_count","shares_count"
"Cherprang BNK48","photo",NA,13655,232,1031
"Cherprang BNK48","photo","Cherprang BNK48 shared a post.",7896,85,231
"Cherprang BNK48","video","Cherprang BNK48 shared a video.",9537,157,1439
"Cherprang BNK48","photo",NA,9297,99,423
"Cherprang BNK48","photo",NA,9799,131,562
"Cherprang BNK48","photo",NA,11847,301,1118
"Cherprang BNK48","photo",NA,12580,176,1043
"Cherprang BNK48","photo",NA,8745,100,341
"Cherprang BNK48","photo",NA,6363,75,183
"Cherprang BNK48","photo",NA,11476,139,568
"Cherprang BNK48","video","Cherprang BNK48 shared a video.",8698,179,852
"Cherprang BNK48","photo",NA,17987,316,2283
"Cherprang BNK48","photo",NA,8763,95,213
"Cherprang BNK48","photo",NA,9269,126,275
"Cherprang BNK48","photo",NA,6715,83,222
"Cherprang BNK48","photo",NA,6746,75,161
"Cherprang BNK48","photo",NA,9195,112,275
"Cherprang BNK48","video","Cherprang BNK48 shared a video.",8683,106,381
"Cherprang BNK48","video",NA,14628,176,1093
"Cherprang BNK48","photo",NA,7336,85,150
"Cherprang BNK48","photo",NA,6152,70,161
"Cherprang BNK48","photo",NA,5952,76,138
"Cherprang BNK48","photo",NA,7638,92,237
"Cherprang BNK48","photo",NA,8416,116,286
"Cherprang BNK48","photo",NA,13921,284,1212
"Cherprang BNK48","photo",NA,6396,86,195
"Cherprang BNK48","photo",NA,6277,97,202
"Cherprang BNK48","photo",NA,4285,70,128
"Cherprang BNK48","photo",NA,5486,71,151
"Cherprang BNK48","photo",NA,3732,116,154
"Cherprang BNK48","photo",NA,7309,110,286
"Cherprang BNK48","photo",NA,3855,59,118
"Cherprang BNK48","photo",NA,5653,88,139
"Cherprang BNK48","photo",NA,7977,122,285
"Cherprang BNK48","photo",NA,7341,114,231
"Cherprang BNK48","photo",NA,6092,104,210
"Cherprang BNK48","photo",NA,6198,77,176
"Cherprang BNK48","photo",NA,5657,82,176
"Cherprang BNK48","photo",NA,7996,121,314
